PLAYER NAME,PROJECTED STROKES
"Rai, Aaron",67.228
"Fitzpatrick, Matt",67.414
"Bradley, Keegan",67.455
"Kim, Si Woo",67.471
"MacIntyre, Robert",67.533
"Griffin, Ben",67.573
"Glover, Lucas",67.599
"Spieth, Jordan",67.719
"Matsuyama, Hideki",67.737
"Gerard, Ryan",67.812
"Bhatia, Akshay",67.818
"Bezuidenhout, Christiaan",67.827
"Poston, J.T.",67.877
"Hall, Harry",67.882
"Kitayama, Kurt",67.928
"Im, Sungjae",67.94
"Fowler, Rickie",67.951
"Thompson, Davis",67.97
"McCarthy, Denny",67.983
"Stevens, Sam",67.999
"Hoey, Rico",68.007
"Knapp, Jake",68.035
"Putnam, Andrew",68.055
"Noren, Alex",68.066
"Wallace, Matt",68.07
"Yu, Kevin",68.078
"Smalley, Alex",68.092
"Novak, Andrew",68.096
"Scott, Adam",68.115
"Kanaya, Takumi",68.135
"Ghim, Doug",68.135
"Grillo, Emiliano",68.162
"Kirk, Chris",68.204
"Cauley, Bud",68.206
"McGreevy, Max",68.225
"Eckroat, Austin",68.232
"Kim, Michael",68.25
"Hojgaard, Nicolai",68.262
"Olesen, Thorbjorn",68.273
"McCarty, Matt",68.277
"Moore, Taylor",68.283
"Coody, Pierceson",68.284
"Greyserman, Max",68.295
"Kim, Tom",68.319
"Svensson, Jesper",68.347
"Perez, Victor",68.356
"Koivun, Jackson",68.358
"Mitchell, Keith",68.362
"Roy, Kevin",68.391
"Thorbjornsen, Michael",68.396
"Bridgeman, Jacob",68.406
"Hubbard, Mark",68.42
"An, Byeong Hun",68.421
"Fox, Ryan",68.437
"Echavarria, Nico",68.438
"Clanton, Luke",68.444
"Kohles, Ben",68.456
"Whaley, Vince",68.46
"Hodges, Lee",68.461
"Woodland, Gary",68.475
"Young, Carson",68.477
"Hisatsune, Ryo",68.48
"Detry, Thomas",68.5
"Kuchar, Matt",68.507
"Simpson, Webb",68.518
"Hossler, Beau",68.532
"Dahmen, Joel",68.533
"Homa, Max",68.538
"Rosenmueller, Thomas",68.547
"Lipsky, David",68.565
"Young, Cameron",68.57
"Power, Seamus",68.57
"Mouw, William",68.599
"Van Rooyen, Erik",68.604
"Norlander, Henrik",68.609
"Johnson, Zach",68.629
"Hojgaard, Rasmus",68.632
"Schmid, Matti",68.632
"Fishburn, Patrick",68.638
"Lawrence, Thriston",68.671
"Peterson, Paul",68.68
"Cole, Eric",68.682
"Garnett, Brice",68.691
"Ryder, Sam",68.702
"Ramey, Chad",68.721
"Svensson, Adam",68.745
"Sigg, Greyson",68.754
"Rozner, Antoine",68.758
"Castillo, Ricky",68.761
"Lashley, Nate",68.803
"Meissner, Mac",68.822
"Rodgers, Patrick",68.833
"Valimaki, Sami",68.834
"Finau, Tony",68.835
"Ventura, Kris",68.835
"Campbell, Brian",68.842
"Fisk, Steven",68.856
"Silverman, Ben",68.856
"Salinda, Isaiah",68.881
"Kim, Chan",68.891
"Cummins, Quade",68.898
"Phillips, Chandler",68.903
"Goodwin, Noah",68.919
"Theegala, Sahith",68.923
"Snedeker, Brandt",68.955
"Norgaard, Niklas",68.958
"Manassero, Matteo",68.971
"Blair, Zac",68.991
"Hardy, Nick",68.996
"Highsmith, Joe",68.999
"Hadwin, Adam",68.999
"Griffin, Lanto",69.039
"Higgs, Harry",69.044
"Skinns, David",69.05
"Gordon, Will",69.088
"Jaeger, Stephan",69.119
"List, Luke",69.12
"Suber, Jackson",69.128
"Higgo, Garrick",69.133
"Lower, Justin",69.217
"Pavon, Matthieu",69.219
"Riley, Davis",69.25
"Pak, John",69.289
"Ford, David",69.326
"Cone, Trevor",69.359
"Davis, Cam",69.379
"Kisner, Kevin",69.406
"Hadley, Chesson",69.435
"Walker, Danny",69.462
"Vilips, Karl",69.502
"Kizzire, Patton",69.507
"Mullinax, Trey",69.572
"Schenk, Adam",69.588
"Villegas, Camilo",69.626
"Velo, Kevin",69.703
"Malnati, Peter",69.82
"Knowles, Philip",69.976
"Riedel, Matthew",70.016
"Del Solar, Cristobal",70.055
"Dickson, Taylor",70.161
"Onishi, Kaito",70.19
"Campos, Rafael",70.211
"Wise, Aaron",70.313
"Thornberry, Braden",70.319
"Dunlap, Nick",70.35
"Chandler, Will",70.419
"Baddeley, Aaron",70.87
"Sargent, Gordon",70.876
"Capan III, Frankie",70.931
"Palmer, Ryan",71.047
"Herman, Jim",71.244
"Kennon, Scotty",71.654
"Lee, Tain",71.973
"Duncan, Austin",72.008
"Franken, Stephen",72.176
"Cole, Preston",74.261
