player_name,dg_id,proj,my_proj
scottie scheffler,18417,93.7,87.4
rory mcilroy,10091,82.3,70.5
robert macintyre,23323,72,69.2
ludvig aberg,23950,70.6,62.0
matt fitzpatrick,17646,66.5,63.2
tommy fleetwood,12294,75.9,73.5
viktor hovland,18841,68.8,62.9
adam scott,6430,65.6,61.5
xander schauffele,19895,73.2,65.4
ryan fox,11889,64.1,60.6
sam burns,19483,66.4,58.6
rasmus neergaard-petersen,23841,63.6,58.3
collin morikawa,22085,70.5,64.4
maverick mcnealy,18634,65.3,57.0
harry hall,27194,64.3,58.6
rasmus hojgaard,23838,64,59.7
max greyserman,23465,62.7,56.5
marco penge,22465,60.5,57.1
justin thomas,14139,70.5,62.5
thomas detry,14181,59.5,55.9
nicolai hojgaard,23602,61,54.7
aaron rai,18554,62.1,58.6
niklas norgaard,15676,57.5,51.1
harris english,14577,61.6,58.5
chris gotterup,27774,64.1,59.4
kristoffer reitan,21407,54.2,50.6
jordan smith,18586,58.7,55.9
brian harman,8825,53.7,50.0
sepp straka,17511,62.5,54.6
corey conners,17576,65.2,59.4
j.j. spaun,17536,64.5,57.1
wyndham clark,23604,56.8,49.9
brian campbell,18628,42.9,40.3
tom kim,24766,54.9,49.1
haotong li,15310,57.9,53.1
aldrich potgieter,27900,54.7,50.3
jake knapp,19396,60.7,51.9
victor perez,20730,57.6,55.0
nick taylor,13126,58.3,54.0
byeong hun an,14459,59.7,55.7
denny mccarthy,19870,57.7,54.1
martin couvra,27811,50.3,45.8
taylor pendrith,17780,61.4,55.8
alex noren,10419,59.7,53.3
romain langasque,16652,45.3,41.5
thriston lawrence,18105,53.4,51.3
kevin yu,17881,61.3,55.8
matteo manassero,11460,46.8,46.6
justin rose,6093,47.6,40.1
daniel brown,20766,53.4,47.2
daniel berger,17606,59.2,53.0
laurie canter,14795,55.6,50.5
bud cauley,14502,58.1,53.0
si woo kim,14609,60.7,58.4
jesper svensson,26850,59.3,56.6
ryan gerard,29767,58.8,52.5
matti schmid,20722,54.8,49.8
lee hodges,25157,55.4,45.8
thorbjorn olesen,13412,59,55.9
matthew jordan,25601,54.8,52.8
sam stevens,25569,60.1,55.5
ewen ferguson,21646,54,49.3
andrew novak,23475,58.2,53.5
sungjae im,17488,56.1,51.6
matt wallace,20706,60.7,59.5
jacob bridgeman,29433,56.7,50.7
francesco laporta,14987,52.9,48.4
antoine rozner,18770,51.5,47.4
grant forrest,16475,49.5,45.5
luke clanton,32330,55.6,49.5
connor syme,22089,46.9,43.2
alejandro del rey,22259,45.5,41.7
eugenio chacarra,26745,50.6,42.9
sami valimaki,23816,53.6,48.9
gary woodland,12577,52.4,44.7
keith mitchell,17365,56.5,48.6
richard mansell,24185,51.2,47.7
alex smalley,18474,56.4,51.3
tom hoge,15575,51.9,47.2
erik van rooyen,17550,53.5,47.9
mackenzie hughes,15556,53.6,47.2
jhonattan vegas,13508,53.2,48.9
michael kim,17543,57.3,51.8
taylor moore,21944,55.4,51.2
alejandro tosti,17032,49.4,45.1
nico echavarria,22833,49.9,44.4
christiaan bezuidenhout,18103,54.7,53.5
yannik paul,19898,41.9,38.7
matthieu pavon,19960,44.7,41.3
daniel hillier,21362,49,44.9
ryo hisatsune,22760,54.2,46.8
sebastian soderberg,18517,45.9,42.3
nicolai von dellingshausen,22231,45.7,42.0
alex fitzpatrick,25362,50.3,46.0
karl vilips,24304,45.3,41.7
marcel schneider,12522,48.5,44.9
adrien saddier,14792,49.3,45.1
padraig harrington,5716,42.6,39.8
calum hill,25131,49.5,44.4
shaun norris,7677,45.4,42.1
andrew putnam,14704,48.9,45.5
davis riley,19872,47.6,43.1
richie ramsay,11396,45,42.0
